Observation id	clip_023								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_023.avi								
									
Observation date	2019-05-03 13:37:15								
									
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G1_video_035.avi								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	empty								
Traffic lights	yes								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	2								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
0.018	/home/alberto/Vídeos/PAD/clip_023.avi	6.520	25.0	Agent01	Crossing		Slow		START
0.018	/home/alberto/Vídeos/PAD/clip_023.avi	6.520	25.0	Agent02	Crossing		Slow		START
0.018	/home/alberto/Vídeos/PAD/clip_023.avi	6.520	25.0	Traffic_Lights	Traffic lights		Red		START
4.275	/home/alberto/Vídeos/PAD/clip_023.avi	6.520	25.0	Agent01	Crossing		Slow		STOP
4.275	/home/alberto/Vídeos/PAD/clip_023.avi	6.520	25.0	Agent02	Crossing		Slow		STOP
5.921	/home/alberto/Vídeos/PAD/clip_023.avi	6.520	25.0	Traffic_Lights	Traffic lights		Red		STOP
