Observation id	clip_015								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_015.avi								
									
Observation date	2019-05-03 12:33:27								
									
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G1_video_027.avi								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	flow								
Traffic lights	yes								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	2								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
0.032	/home/alberto/Vídeos/PAD/clip_015.avi	4.040	25.0	Traffic_Lights	Traffic lights		Green		START
2.298	/home/alberto/Vídeos/PAD/clip_015.avi	4.040	25.0	Agent01	Standing		Close		START
3.335	/home/alberto/Vídeos/PAD/clip_015.avi	4.040	25.0	Agent01	Standing		Close		STOP
3.983	/home/alberto/Vídeos/PAD/clip_015.avi	4.040	25.0	Traffic_Lights	Traffic lights		Green		STOP
