Observation id	clip_039								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_039.avi								
									
Observation date	2019-06-21 19:11:18								
									
Description	Recording date: 18/05/2019 Circuit: Downtown Alcalá Original video: 20190518_1.mp4								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	flow								
Traffic lights	yes								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
0.000	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Traffic_Lights	Traffic lights		Green		START
2.907	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent04	Standing		Close		START
2.935	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent03	Standing		Close		START
3.342	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent02	Standing		Close		START
3.450	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent01	Standing		Close		START
4.589	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent04	Looking		Side		START
4.750	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Traffic_Lights	Traffic lights		Green		STOP
5.136	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent02	Looking		Side		START
5.311	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent03	Looking		Side		START
5.430	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent01	Standing		Close		STOP
5.521	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent02	Looking		Side		STOP
5.530	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent02	Standing		Close		STOP
5.563	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent04	Looking		Side		STOP
5.654	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent03	Looking		Side		STOP
5.759	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent03	Standing		Close		STOP
5.892	/home/alberto/Vídeos/PAD/clip_039.avi	7.020	59.0	Agent04	Standing		Close		STOP
