Observation id	clip_010								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_010.avi								
									
Observation date	2019-05-04 11:48:21								
									
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G2_video_022.avi								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	empty								
Traffic lights	no								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
1.100	/home/alberto/Vídeos/PAD/clip_010.avi	9.040	25.0	Agent02	Looking		Side		START
1.432	/home/alberto/Vídeos/PAD/clip_010.avi	9.040	25.0	Agent02	Looking		Side		STOP
2.504	/home/alberto/Vídeos/PAD/clip_010.avi	9.040	25.0	Agent01	Crossing		Normal		START
4.375	/home/alberto/Vídeos/PAD/clip_010.avi	9.040	25.0	Agent01	Crossing		Normal		STOP
4.684	/home/alberto/Vídeos/PAD/clip_010.avi	9.040	25.0	Agent02	Crossing		Fast		START
7.345	/home/alberto/Vídeos/PAD/clip_010.avi	9.040	25.0	Agent02	Crossing		Fast		STOP
