Observation id	clip_019									
										
Media file(s)										
										
Player #1	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi									
										
Observation date	2019-05-03 12:54:41									
										
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G1_video_030.avi									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	normal									
Traffic	empty									
Traffic lights	yes									
Crossing	yes									
Sign	no									
Speed bump	no									
Lanes	1									
Ways	one									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
3.320	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Alien01	Standing		Close			START
3.680	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Alien02	Standing		Close			START
4.000	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent01	Crossing		Normal			START
4.000	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent02	Crossing		Normal			START
4.000	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Traffic_Lights	Traffic lights		Green			START
4.200	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Alien02	Standing		Close			STOP
4.320	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Alien01	Standing		Close			STOP
4.400	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Alien03	Walking		Normal	Other		START
5.040	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Alien03	Walking		Normal	Other		STOP
6.840	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent03	Looking		Side			START
6.840	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent03	Standing		Close			START
6.880	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent02	Crossing		Normal			STOP
7.160	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent01	Crossing		Normal			STOP
9.800	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent03	Looking		Side			STOP
9.800	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Agent03	Standing		Close			STOP
9.800	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_019_tracking.avi	11.040	25.0	Traffic_Lights	Traffic lights		Green			STOP
