Observation id	clip_043								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_043.avi								
									
Observation date	2019-06-21 20:00:16								
									
Description	Recording date: 18/05/2019 Circuit: Downtown Alcalá Original video: 20190518_1.mp4								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	light								
Traffic lights	no								
Crossing	no								
Sign	no								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
2.050	/home/alberto/Vídeos/PAD/clip_043.avi	7.510	59.0	Agent01	Standing		Close		START
2.802	/home/alberto/Vídeos/PAD/clip_043.avi	7.510	59.0	Agent01	Looking		Side		START
6.544	/home/alberto/Vídeos/PAD/clip_043.avi	7.510	59.0	Agent01	Looking		Side		STOP
6.650	/home/alberto/Vídeos/PAD/clip_043.avi	7.510	59.0	Agent01	Standing		Close		STOP
