Observation id	clip_034								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_034_tracking.avi								
									
Observation date	2019-06-19 20:00:57								
									
Description	Recording date: 18/05/2019 Circuit: Circuit 1 Original video: 20190519_1.mp4								
									
Time offset (s)	0.0								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	empty								
Traffic lights	no								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
0.017	/home/alberto/Vídeos/PAD/clip_034_tracking.avi	9.850	60.0	Agent01	Crossing		Normal		START
2.050	/home/alberto/Vídeos/PAD/clip_034_tracking.avi	9.850	60.0	Agent02	Crossing		Fast		START
2.883	/home/alberto/Vídeos/PAD/clip_034_tracking.avi	9.850	60.0	Agent02	Crossing		Fast		STOP
3.017	/home/alberto/Vídeos/PAD/clip_034_tracking.avi	9.850	60.0	Agent02	Crossing		Fast		START
3.583	/home/alberto/Vídeos/PAD/clip_034_tracking.avi	9.850	60.0	Agent01	Crossing		Normal		STOP
7.800	/home/alberto/Vídeos/PAD/clip_034_tracking.avi	9.850	60.0	Agent02	Crossing		Fast		STOP
