Observation id	clip_028									
										
Media file(s)										
										
Player #1	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi									
										
Observation date	2019-05-03 13:52:22									
										
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G1_video_045.avi									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	good									
Traffic	light									
Traffic lights	no									
Crossing	yes									
Sign	yes									
Speed bump	no									
Lanes	1									
Ways	one									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
1.600	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi	10.040	25.0	Agent01	Walking		Normal	Road		START
2.320	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi	10.040	25.0	Agent01	Looking		Side			START
3.880	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi	10.040	25.0	Agent01	Looking		Side			STOP
3.920	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi	10.040	25.0	Agent01	Walking		Normal	Road		STOP
3.960	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi	10.040	25.0	Agent01	Crossing		Normal			START
8.640	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_028_tracking.avi	10.040	25.0	Agent01	Crossing		Normal			STOP
