Observation id	clip_025								
									
Media file(s)									
									
Player #1	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi								
									
Observation date	2019-05-04 11:57:19								
									
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G2_video_039 .avi								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	clouds								
Visibility	normal								
Traffic	empty								
Traffic lights	yes								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
0.040	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent01	Crossing		Normal		START
0.040	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent02	Crossing		Normal		START
1.280	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Traffic_Lights	Traffic lights		Green		START
1.800	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent02	Crossing		Normal		STOP
3.880	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent01	Crossing		Normal		STOP
4.040	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent03	Crossing		Fast		START
4.040	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent03	Looking		Side		START
4.440	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent03	Looking		Side		STOP
5.240	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent03	Looking		Side		START
5.840	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent03	Looking		Side		STOP
7.720	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Agent03	Crossing		Fast		STOP
7.840	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_025_tracking.avi	10.040	25.0	Traffic_Lights	Traffic lights		Green		STOP
