Observation id	clip_014									
										
Media file(s)										
										
Player #1	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_014_tracking.avi									
										
Observation date	2019-05-03 12:23:47									
										
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G1_video_027.avi									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	good									
Traffic	empty									
Traffic lights	no									
Crossing	yes									
Sign	yes									
Speed bump	no									
Lanes	2									
Ways	one									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
1.200	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_014_tracking.avi	7.520	25.0	Agent01	Walking		Normal	Road		START
1.960	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_014_tracking.avi	7.520	25.0	Agent01	Walking		Normal	Road		STOP
2.000	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_014_tracking.avi	7.520	25.0	Agent01	Crossing		Normal			START
5.720	/home/alberto/Seafile/Universidad/2018-19/TFG/videos/clip_014_tracking.avi	7.520	25.0	Agent01	Crossing		Normal			STOP
