Observation id	clip_041									
										
Media file(s)										
										
Player #1	/home/alberto/Vídeos/PAD/clip_041.avi									
										
Observation date	2019-06-21 19:27:42									
										
Description	Recording date: 18/05/2019 Circuit: Downtown Alcalá Original video: 20190518_1.mp4									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	good									
Traffic	light									
Traffic lights	no									
Crossing	yes									
Sign	yes									
Speed bump	no									
Lanes	2									
Ways	one									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
0.168	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent01	Walking		Normal	Road		START
0.168	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent02	Walking		Normal	Road		START
4.302	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent02	Looking		Side			START
6.054	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent02	Looking		Side			STOP
6.600	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent01	Walking		Normal	Road		STOP
7.105	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent01	Crossing		Normal			START
7.119	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent02	Walking		Normal	Road		STOP
7.120	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent02	Crossing		Normal			START
12.365	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent01	Crossing		Normal			STOP
12.668	/home/alberto/Vídeos/PAD/clip_041.avi	14.020	59.0	Agent02	Crossing		Normal			STOP
