Observation id	clip_004									
										
Media file(s)										
										
Player #1	/home/alberto/Vídeos/PAD/clip_004.avi									
										
Observation date	2019-05-04 11:39:43									
										
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G2_video_009.avi									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	normal									
Traffic	light									
Traffic lights	yes									
Crossing	yes									
Sign	no									
Speed bump	no									
Lanes	1									
Ways	two									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
0.012	/home/alberto/Vídeos/PAD/clip_004.avi	6.520	25.0	Traffic_Lights	Traffic lights		Green			START
1.747	/home/alberto/Vídeos/PAD/clip_004.avi	6.520	25.0	Agent01	Standing		Close			START
3.927	/home/alberto/Vídeos/PAD/clip_004.avi	6.520	25.0	Alien01	Walking		Normal	Other		START
4.444	/home/alberto/Vídeos/PAD/clip_004.avi	6.520	25.0	Alien01	Walking		Normal	Other		STOP
5.350	/home/alberto/Vídeos/PAD/clip_004.avi	6.520	25.0	Traffic_Lights	Traffic lights		Green			STOP
5.951	/home/alberto/Vídeos/PAD/clip_004.avi	6.520	25.0	Agent01	Standing		Close			STOP
