Observation id	clip_040									
										
Media file(s)										
										
Player #1	/home/alberto/Vídeos/PAD/clip_040.avi									
										
Observation date	2019-06-21 19:18:04									
										
Description	Recording date: 18/05/2019 Circuit: Downtown Alcalá Original video: 20190518_1.mp4									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
Weather	sun									
Visibility	good									
Traffic	heavy									
Traffic lights	no									
Crossing	yes									
Sign	yes									
Speed bump	no									
Lanes	1									
Ways	one									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
1.162	/home/alberto/Vídeos/PAD/clip_040.avi	9.510	59.0	Agent01	Walking		Normal	Road		START
2.027	/home/alberto/Vídeos/PAD/clip_040.avi	9.510	59.0	Agent01	Looking		Side			START
2.767	/home/alberto/Vídeos/PAD/clip_040.avi	9.510	59.0	Agent01	Walking		Normal	Road		STOP
3.181	/home/alberto/Vídeos/PAD/clip_040.avi	9.510	59.0	Agent01	Crossing		Normal			START
3.381	/home/alberto/Vídeos/PAD/clip_040.avi	9.510	59.0	Agent01	Looking		Side			STOP
8.006	/home/alberto/Vídeos/PAD/clip_040.avi	9.510	59.0	Agent01	Crossing		Normal			STOP
