Observation id	clip_068								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_068.avi								
									
Observation date	2019-06-25 17:45:17								
									
Description	Recording date: 14/06/2019 Circuit: Downtown Alcalá Original video: 20190614_2.mp4								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	flow								
Traffic lights	no								
Crossing	yes								
Sign	yes								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
2.326	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent01	Looking		Side		START
2.326	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent02	Looking		Side		START
2.732	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent01	Crossing		Normal		START
2.732	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent02	Crossing		Normal		START
3.139	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent01	Looking		Side		STOP
3.643	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent02	Looking		Side		STOP
4.092	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent01	Looking		Side		START
5.003	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent01	Looking		Side		STOP
12.294	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent01	Crossing		Normal		STOP
12.869	/home/alberto/Vídeos/PAD/clip_068.avi	14.020	59.0	Agent02	Crossing		Normal		STOP
