Observation id	clip_003								
									
Media file(s)									
									
Player #1	/home/alberto/Vídeos/PAD/clip_003.avi								
									
Observation date	2019-05-04 11:34:16								
									
Description	Recording date: 10/04/2019 Circuit: Downtown Alcalá Original video: G2_video_008.avi								
									
Time offset (s)	0.000								
									
independent variables									
variable	value								
Weather	sun								
Visibility	normal								
Traffic	light								
Traffic lights	yes								
Crossing	yes								
Sign	no								
Speed bump	no								
Lanes	1								
Ways	one								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Comment	Status
0.052	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Traffic_Lights	Traffic lights		Yellow		START
0.598	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Traffic_Lights	Traffic lights		Yellow		STOP
0.676	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Traffic_Lights	Traffic lights		Red		START
18.452	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Agent01	Looking		Side		START
19.077	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Agent01	Crossing		Normal		START
19.540	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Agent01	Looking		Side		STOP
21.995	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Agent01	Crossing		Normal		STOP
22.145	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Traffic_Lights	Traffic lights		Red		STOP
23.200	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Traffic_Lights	Traffic lights		Green		START
25.750	/home/alberto/Vídeos/PAD/clip_003.avi	26.040	25.0	Traffic_Lights	Traffic lights		Green		STOP
